t v x
x=0.5
0 0 0.05
0.002 -0.0104389 0.05
0.004 -0.0208624 0.0499791
0.006 -0.0312672 0.0499374
0.008 -0.0416499 0.0498749
0.01 -0.0520073 0.0497916
0.012 -0.062336 0.0496875
0.014 -0.0726327 0.0495629
0.016 -0.0828941 0.0494176
0.018 -0.0931169 0.0492518
0.02 -0.103298 0.0490656
0.022 -0.113433 0.048859
0.024 -0.12352 0.0486321
0.026 -0.133554 0.0483851
0.028 -0.143534 0.048118
0.03 -0.153454 0.0478309
0.032 -0.163311 0.047524
0.034 -0.173103 0.0471974
0.036 -0.182826 0.0468512
0.038 -0.192476 0.0464855
0.04 -0.20205 0.0461006
0.042 -0.211543 0.0456965
0.044 -0.220954 0.0452734
0.046 -0.230277 0.0448315
0.048 -0.23951 0.0443709
0.05 -0.248649 0.0438919
0.052 -0.25769 0.0433946
0.054 -0.26663 0.0428792
0.056 -0.275465 0.042346
0.058 -0.284191 0.041795
0.06 -0.292805 0.0412266
0.062 -0.301302 0.040641
0.064 -0.309679 0.0400384
0.066 -0.317933 0.0394191
0.068 -0.326059 0.0387832
0.07 -0.334055 0.0381311
0.072 -0.341915 0.037463
0.074 -0.349636 0.0367792
0.076 -0.357214 0.0360799
0.078 -0.364646 0.0353655
0.08 -0.371928 0.0346362
0.082 -0.379055 0.0338923
0.084 -0.386024 0.0331342
0.086 -0.392831 0.0323621
0.088 -0.399472 0.0315765
0.09 -0.405943 0.0307775
0.092 -0.412241 0.0299657
0.094 -0.418362 0.0291412
0.096 -0.424301 0.0283045
0.098 -0.430055 0.0274558
0.1 -0.43562 0.0265957
0.102 -0.440992 0.0257245
0.104 -0.446168 0.0248425
0.106 -0.451143 0.0239502
0.108 -0.455915 0.0230479
0.11 -0.460478 0.0221361
0.112 -0.464831 0.0212151
0.114 -0.468969 0.0202854
0.116 -0.472888 0.0193475
0.118 -0.476585 0.0184017
0.12 -0.480057 0.0174486
0.122 -0.4833 0.0164884
0.124 -0.486311 0.0155218
0.126 -0.489087 0.0145492
0.128 -0.491625 0.0135711
0.13 -0.49392 0.0125878
0.132 -0.495972 0.0116
0.134 -0.497776 0.010608
0.136 -0.49933 0.00961247
0.138 -0.500631 0.00861381
0.14 -0.501677 0.00761254
0.142 -0.502464 0.00660919
0.144 -0.502992 0.00560426
0.146 -0.503257 0.00459828
0.148 -0.503258 0.00359176
0.15 -0.502993 0.00258525
0.152 -0.502459 0.00157926
0.154 -0.501656 0.000574343
0.156 -0.500582 -0.00042897
0.158 -0.499235 -0.00143013
0.16 -0.497615 -0.0024286
0.162 -0.495721 -0.00342383
0.164 -0.493551 -0.00441528
0.166 -0.491105 -0.00540238
0.168 -0.488384 -0.00638459
0.17 -0.485386 -0.00736135
0.172 -0.482112 -0.00833213
0.174 -0.478562 -0.00929635
0.176 -0.474736 -0.0102535
0.178 -0.470636 -0.0112029
0.18 -0.466262 -0.0121442
0.182 -0.461615 -0.0130767
0.184 -0.456697 -0.014
0.186 -0.45151 -0.0149134
0.188 -0.446054 -0.0158164
0.19 -0.440333 -0.0167085
0.192 -0.434348 -0.0175892
0.194 -0.428102 -0.0184579
0.196 -0.421598 -0.0193141
0.198 -0.414839 -0.0201573
0.2 -0.407828 -0.0209869
0.202 -0.400569 -0.0218026
0.204 -0.393066 -0.0226037
0.206 -0.385322 -0.0233899
0.208 -0.377343 -0.0241605
0.21 -0.369131 -0.0249152
0.212 -0.360693 -0.0256535
0.214 -0.352034 -0.0263748
0.216 -0.343157 -0.0270789
0.218 -0.33407 -0.0277652
0.22 -0.324777 -0.0284334
0.222 -0.315285 -0.0290829
0.224 -0.305599 -0.0297135
0.226 -0.295727 -0.0303247
0.228 -0.285674 -0.0309161
0.23 -0.275447 -0.0314875
0.232 -0.265053 -0.0320384
0.234 -0.2545 -0.0325685
0.236 -0.243795 -0.0330775
0.238 -0.232944 -0.0335651
0.24 -0.221956 -0.034031
0.242 -0.210839 -0.0344749
