lab4.cpp
lab4.err
lab4.out
lab4.sh
t v x
x=0.5
0 0 0.05
0.002 -0.0114044 0.05
0.004 -0.0228031 0.0499772
0.006 -0.0341922 0.0499316
0.008 -0.0455679 0.0498632
0.01 -0.0569264 0.0497721
0.012 -0.068264 0.0496582
0.014 -0.0795768 0.0495217
0.016 -0.090861 0.0493625
0.018 -0.102113 0.0491808
0.02 -0.113328 0.0489766
0.022 -0.124503 0.0487499
0.024 -0.135634 0.0485009
0.026 -0.146717 0.0482297
0.028 -0.157748 0.0479362
0.03 -0.168723 0.0476207
0.032 -0.179638 0.0472833
0.034 -0.190489 0.046924
0.036 -0.201271 0.046543
0.038 -0.211982 0.0461405
0.04 -0.222616 0.0457165
0.042 -0.233169 0.0452713
0.044 -0.243638 0.0448049
0.046 -0.254017 0.0443177
0.048 -0.264303 0.0438096
0.05 -0.274492 0.043281
0.052 -0.284578 0.042732
0.054 -0.294557 0.0421629
0.056 -0.304426 0.0415738
0.058 -0.314179 0.0409649
0.06 -0.323812 0.0403366
0.062 -0.33332 0.0396889
0.064 -0.342698 0.0390223
0.066 -0.351943 0.0383369
0.068 -0.361048 0.037633
0.07 -0.37001 0.0369109
0.072 -0.378823 0.0361709
0.074 -0.387483 0.0354133
0.076 -0.395984 0.0346383
0.078 -0.404322 0.0338463
0.08 -0.412492 0.0330377
0.082 -0.420488 0.0322127
0.084 -0.428306 0.0313717
0.086 -0.43594 0.0305151
0.088 -0.443385 0.0296432
0.09 -0.450636 0.0287565
0.092 -0.457689 0.0278552
0.094 -0.464537 0.0269398
0.096 -0.471175 0.0260107
0.098 -0.477598 0.0250684
0.1 -0.483802 0.0241132
0.102 -0.48978 0.0231456
0.104 -0.495527 0.022166
0.106 -0.501038 0.021175
0.108 -0.506309 0.0201729
0.11 -0.511332 0.0191603
0.112 -0.516105 0.0181376
0.114 -0.52062 0.0171054
0.116 -0.524873 0.0160642
0.118 -0.528859 0.0150144
0.12 -0.532573 0.0139567
0.122 -0.53601 0.0128916
0.124 -0.539165 0.0118195
0.126 -0.542032 0.0107412
0.128 -0.544608 0.00965714
0.13 -0.546888 0.00856792
0.132 -0.548866 0.00747415
0.134 -0.550539 0.00637642
0.136 -0.551902 0.00527534
0.138 -0.552951 0.00417153
0.14 -0.553681 0.00306563
0.142 -0.554089 0.00195827
0.144 -0.554172 0.000850093
0.146 -0.553924 -0.00025825
0.148 -0.553344 -0.0013661
0.15 -0.552427 -0.00247279
0.152 -0.551171 -0.00357764
0.154 -0.549572 -0.00467998
0.156 -0.547629 -0.00577913
0.158 -0.545339 -0.00687438
0.16 -0.5427 -0.00796506
0.162 -0.539709 -0.00905046
0.164 -0.536366 -0.0101299
0.166 -0.532668 -0.0112026
0.168 -0.528616 -0.0122679
0.17 -0.524208 -0.0133252
0.172 -0.519444 -0.0143736
0.174 -0.514323 -0.0154125
0.176 -0.508847 -0.0164411
0.178 -0.503015 -0.0174588
0.18 -0.496829 -0.0184649
0.182 -0.49029 -0.0194585
0.184 -0.483399 -0.0204391
0.186 -0.476159 -0.0214059
0.188 -0.468572 -0.0223582
0.19 -0.46064 -0.0232953
0.192 -0.452368 -0.0242166
0.194 -0.443758 -0.0251214
0.196 -0.434815 -0.0260089
0.198 -0.425543 -0.0268785
0.2 -0.415946 -0.0277296
0.202 -0.406031 -0.0285615
0.204 -0.395802 -0.0293735
0.206 -0.385265 -0.0301652
0.208 -0.374427 -0.0309357
0.21 -0.363296 -0.0316845
0.212 -0.351877 -0.0324111
0.214 -0.340178 -0.0331149
0.216 -0.328208 -0.0337952
0.218 -0.315975 -0.0344517
0.22 -0.303488 -0.0350836
0.222 -0.290755 -0.0356906
0.224 -0.277787 -0.0362721
0.226 -0.264593 -0.0368277
0.228 -0.251182 -0.0373569
0.23 -0.237567 -0.0378592
0.232 -0.223756 -0.0383343
0.234 -0.209762 -0.0387819
0.236 -0.195596 -0.0392014
0.238 -0.181269 -0.0395926
